Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Johannes Roberts,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Johannes+Roberts,https://www.imdb.com/find/?q=Johannes+Roberts&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:44472fa5975fd52742ce07280a6323b594655097,,,,,,,,,,,,
John Carney,T3,Established,US/Intl,Musical,"Drama,Comedy",Mid/Studio,music-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Carney,https://www.imdb.com/find/?q=John+Carney&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5b6ba6fa5c324156f9e86376cf2617eeed01695a,,,,,,,,,,,,
John Crowley,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Crowley,https://www.imdb.com/find/?q=John+Crowley&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f5731b9ee119977eb6ee434946c6309c83860616,,,,,,,,,,,,
John Hamburg,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Hamburg,https://www.imdb.com/find/?q=John+Hamburg&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8f393c6485fb0f57a7e285569e18790ca270997f,,,,,,,,,,,,
John Hillcoat,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Hillcoat,https://www.imdb.com/find/?q=John+Hillcoat&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:3cd00e3d9c2d51d6abdfeb83656c7203fe7fc494,,,,,,,,,,,,
John Krasinski,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Krasinski,https://www.imdb.com/find/?q=John+Krasinski&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c9c038baad295fd047c5788bb5aac768f597a0c0,,,,,,,,,,,,
John Lee Hancock,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Lee+Hancock,https://www.imdb.com/find/?q=John+Lee+Hancock&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f0bbe950ee236f5bc70c1ac87953bdad8fde9d6f,,,,,,,,,,,,
John Madden,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Madden,https://www.imdb.com/find/?q=John+Madden&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2416929f3df639ed0d198dbec419fd9e207576b8,,,,,,,,,,,,
John Moore,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=John+Moore,https://www.imdb.com/find/?q=John+Moore&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c498464edf59ca7a5c0cc9f0d283ce11ed2e00a5,,,,,,,,,,,,
Jonathan Levine,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jonathan+Levine,https://www.imdb.com/find/?q=Jonathan+Levine&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2ec7d84249f978c8d95bd1f4197114182223cdf6,,,,,,,,,,,,
Jonathan Mostow,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jonathan+Mostow,https://www.imdb.com/find/?q=Jonathan+Mostow&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:af76271fc36e2275e25b3418fbfa85947a4d1667,,,,,,,,,,,,
Julius Avery,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Julius+Avery,https://www.imdb.com/find/?q=Julius+Avery&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e57800af9396a43c2f43492e1bdd773d3aaa852f,,,,,,,,,,,,
Kay Cannon,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kay+Cannon,https://www.imdb.com/find/?q=Kay+Cannon&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d4d7a066e1fb551e6d97424c81e0fac3dc5500a8,,,,,,,,,,,,
Ken Kwapis,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ken+Kwapis,https://www.imdb.com/find/?q=Ken+Kwapis&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0c201cfe89ba25ea11f795dca0dbbe38eae60ac2,,,,,,,,,,,,
Kenneth Branagh,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kenneth+Branagh,https://www.imdb.com/find/?q=Kenneth+Branagh&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:38e44cddf76682fc6319762414fe6ea06074d0be,,,,,,,,,,,,
Kevin Macdonald,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kevin+Macdonald,https://www.imdb.com/find/?q=Kevin+Macdonald&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e5e5192bd0a485072b69e32eec1d0e15df6f7cfe,,,,,,,,,,,,
Kevin Smith,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kevin+Smith,https://www.imdb.com/find/?q=Kevin+Smith&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e4ac2546105fd0efeea64f0fe3a3ee62da2b7c87,,,,,,,,,,,,
Lee Cronin,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Lee+Cronin,https://www.imdb.com/find/?q=Lee+Cronin&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a3a67e675b655a94291b49389ea569ad03e44291,,,,,,,,,,,,
Leigh Janiak,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Leigh+Janiak,https://www.imdb.com/find/?q=Leigh+Janiak&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0ada98226a78756026e39cfa7def345cf055949e,,,,,,,,,,,,
Len Wiseman,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Len+Wiseman,https://www.imdb.com/find/?q=Len+Wiseman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e434b595d7003e13e1405daed14977e36d308cc0,,,,,,,,,,,,
Lexi Alexander,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Lexi+Alexander,https://www.imdb.com/find/?q=Lexi+Alexander&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e3e478fe948f6b91348c8c31f02565e1aeb4d733,,,,,,,,,,,,
Malcolm D. Lee,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Malcolm+D.+Lee,https://www.imdb.com/find/?q=Malcolm+D.+Lee&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:947e9eac486afa85da9b9d2d07964754f998890d,,,,,,,,,,,,
Marcus Nispel,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Marcus+Nispel,https://www.imdb.com/find/?q=Marcus+Nispel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:27c9f595e4094d40f3881cd4818f978fef350daa,,,,,,,,,,,,
Mark Waters,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mark+Waters,https://www.imdb.com/find/?q=Mark+Waters&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d7a9ccfbc3634a50733a20a2246a1c4a14b4d22d,,,,,,,,,,,,
McG,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=McG,https://www.imdb.com/find/?q=McG&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:29e1104d9c121b7788e9df126671e542493252d1,,,,,,,,,,,,
Michael Dowse,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Michael+Dowse,https://www.imdb.com/find/?q=Michael+Dowse&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2a7dea93c4b3a818d9a1a73c0688687888bee295,,,,,,,,,,,,
Michael Gracey,T3,Established,US/Intl,Musical,"Drama,Comedy",Mid/Studio,music-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Michael+Gracey,https://www.imdb.com/find/?q=Michael+Gracey&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:56e5be41a0e6ebb4c389a4eaad3163b9a9d14dbe,,,,,,,,,,,,
Michael Morris,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Michael+Morris,https://www.imdb.com/find/?q=Michael+Morris&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6db130a8c6e75f9f4f37e2a2f40cd668acf27718,,,,,,,,,,,,
Michael Showalter,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Michael+Showalter,https://www.imdb.com/find/?q=Michael+Showalter&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0c868cb079778862adbb1cbc4b71a3cc744765c8,,,,,,,,,,,,
Miguel Arteta,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Miguel+Arteta,https://www.imdb.com/find/?q=Miguel+Arteta&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f7d5e1956464d33df9391ee7cd3a191a5184f03a,,,,,,,,,,,,
Mike P. Nelson,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mike+P.+Nelson,https://www.imdb.com/find/?q=Mike+P.+Nelson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bb62e2238331892e912097f23cff5834aa802146,,,,,,,,,,,,
Nicholas Hytner,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Nicholas+Hytner,https://www.imdb.com/find/?q=Nicholas+Hytner&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:938a1fc9361be4115181686cffadea722783900f,,,,,,,,,,,,
Nicolas Pesce,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Nicolas+Pesce,https://www.imdb.com/find/?q=Nicolas+Pesce&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6fd7870bf9905868df8db76815c5fa7c2ab9605e,,,,,,,,,,,,
Nimród Antal,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Nimr%C3%B3d+Antal,https://www.imdb.com/find/?q=Nimr%C3%B3d+Antal&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b961de451688707e4931c219762e4c1bb69f83f4,,,,,,,,,,,,
Nisha Ganatra,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Nisha+Ganatra,https://www.imdb.com/find/?q=Nisha+Ganatra&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:16593bcd374af4536b7a17bba1fe74a2acef75c7,,,,,,,,,,,,
Olivier Megaton,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Olivier+Megaton,https://www.imdb.com/find/?q=Olivier+Megaton&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:fcf6f7e34f497b2fb81bf34f9d880677c5a34e8c,,,,,,,,,,,,
Omar Naim,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Omar+Naim,https://www.imdb.com/find/?q=Omar+Naim&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:3de9d750e30c22ae95cfbc53cb3ce13a59cc99c9,,,,,,,,,,,,
Patrick Brice,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Patrick+Brice,https://www.imdb.com/find/?q=Patrick+Brice&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:73d630247ec6e81a9ad89f20adb0afd9ffa93ff3,,,,,,,,,,,,
Patrick Hughes,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Patrick+Hughes,https://www.imdb.com/find/?q=Patrick+Hughes&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:cde403a86957cfa5e09de01cb95205579cac1267,,,,,,,,,,,,
Paul McGuigan,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+McGuigan,https://www.imdb.com/find/?q=Paul+McGuigan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c6c426b4a3ba5d8633e5e169e1ff68ebf409dd9c,,,,,,,,,,,,
Paul Weitz,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Paul+Weitz,https://www.imdb.com/find/?q=Paul+Weitz&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7f7dddf612651dbaa0a4ab9afc2f9c96c628eaa2,,,,,,,,,,,,
Peter Farrelly,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Peter+Farrelly,https://www.imdb.com/find/?q=Peter+Farrelly&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c4cf317ac1eb8fad150e3258ff922c921b58f5b4,,,,,,,,,,,,
Peter Hedges,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Peter+Hedges,https://www.imdb.com/find/?q=Peter+Hedges&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:11adca296e4db01c7f9b5056ce86c62c5c83c8c0,,,,,,,,,,,,
Peyton Reed,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Peyton+Reed,https://www.imdb.com/find/?q=Peyton+Reed&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7d81c98afb62048bd5fbfa76580a9c97f3d16cdd,,,,,,,,,,,,
Pierre Morel,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Pierre+Morel,https://www.imdb.com/find/?q=Pierre+Morel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6b168635936ef9ba3a7dd06473a1b9be3392903a,,,,,,,,,,,,
Ramin Bahrani,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ramin+Bahrani,https://www.imdb.com/find/?q=Ramin+Bahrani&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1f0944128218638d85edacedb591bebb341c74cf,,,,,,,,,,,,
Rawson Marshall Thurber,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rawson+Marshall+Thurber,https://www.imdb.com/find/?q=Rawson+Marshall+Thurber&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bf81c1c38d3b36301b67c9e6a4da974624bd7b59,,,,,,,,,,,,
Reginald Hudlin,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Reginald+Hudlin,https://www.imdb.com/find/?q=Reginald+Hudlin&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:878a8d7f59bb64cf38d766e16d6c60f5fd07192b,,,,,,,,,,,,
Renny Harlin,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Renny+Harlin,https://www.imdb.com/find/?q=Renny+Harlin&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7745104c80d9c2a1b1a32576e54f63df27b31a00,,,,,,,,,,,,
Ric Roman Waugh,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ric+Roman+Waugh,https://www.imdb.com/find/?q=Ric+Roman+Waugh&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0ee5e1e2036b7077fb75957f0f46b1928170d866,,,,,,,,,,,,
Richard Curtis,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Richard+Curtis,https://www.imdb.com/find/?q=Richard+Curtis&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:819574c9bd945b8829185dbd0167affee3c7c7d4,,,,,,,,,,,,
Rob Marshall,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rob+Marshall,https://www.imdb.com/find/?q=Rob+Marshall&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:88f1a0950095fce819d139db16a093304afef875,,,,,,,,,,,,
Rob Savage,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rob+Savage,https://www.imdb.com/find/?q=Rob+Savage&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6e49962e4eb4e695885565f2328f28a108d8ed13,,,,,,,,,,,,
Robert Luketic,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Robert+Luketic,https://www.imdb.com/find/?q=Robert+Luketic&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:75e36c3741d6e4b08baf9272eaed08a606f4652d,,,,,,,,,,,,
Roel Reiné,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Roel+Rein%C3%A9,https://www.imdb.com/find/?q=Roel+Rein%C3%A9&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b664ece533dcf3a101585e490de816b4634daf53,,,,,,,,,,,,
Ron Howard,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ron+Howard,https://www.imdb.com/find/?q=Ron+Howard&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:67072dab5a12a3ab3d8e4ebb0685520c96d636fa,,,,,,,,,,,,
S. Craig Zahler,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=S.+Craig+Zahler,https://www.imdb.com/find/?q=S.+Craig+Zahler&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f7be9b651915ffac9ca0001243e647240ef01ce4,,,,,,,,,,,,
Sam Hargrave,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sam+Hargrave,https://www.imdb.com/find/?q=Sam+Hargrave&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0b510c318a51bfc7c288007c88ae5ad160f8be11,,,,,,,,,,,,
Sam Taylor-Johnson,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sam+Taylor-Johnson,https://www.imdb.com/find/?q=Sam+Taylor-Johnson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:55450726d7550ac2e15ecdac5028266c30b1b378,,,,,,,,,,,,
Sanaa Hamri,T3,Established,US/Intl,Musical,"Drama,Comedy",Mid/Studio,music-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sanaa+Hamri,https://www.imdb.com/find/?q=Sanaa+Hamri&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a14c421a05b09bad73552ef3570457023453021c,,,,,,,,,,,,
Scott Beck,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Scott+Beck,https://www.imdb.com/find/?q=Scott+Beck&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2188101c48d7f2ccde3b1107eeeafd6802ed158a,,,,,,,,,,,,
Scott Cooper,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Scott+Cooper,https://www.imdb.com/find/?q=Scott+Cooper&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9911f11f9367ced443edf9b3e62025595299fa38,,,,,,,,,,,,
Scott Stewart,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Scott+Stewart,https://www.imdb.com/find/?q=Scott+Stewart&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:28ce83091f9113c23bd91fcb2c17207170690731,,,,,,,,,,,,
Scott Waugh,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Scott+Waugh,https://www.imdb.com/find/?q=Scott+Waugh&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b4d4532a390cfa6f33a6240f6ce9d072bfa5780c,,,,,,,,,,,,
Seth Gordon,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Seth+Gordon,https://www.imdb.com/find/?q=Seth+Gordon&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bf9321a64dc8c5cd412179c73a084db0cab2ff39,,,,,,,,,,,,
Severin Fiala,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Severin+Fiala,https://www.imdb.com/find/?q=Severin+Fiala&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:31f690fa50a1b2da4a03b7714821c779fb670255,,,,,,,,,,,,
Simon West,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Simon+West,https://www.imdb.com/find/?q=Simon+West&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1e369af3eb619e5a6ee5ff8bcbf6d3ef446fb63e,,,,,,,,,,,,
